athal_genotype,treatment,group,induction,population,experiment
Col-0,MgCl2,1,Mock,1.82E+07,1
Col-0,MgCl2,1,Mock,1.59E+07,1
Col-0,MgCl2,1,Mock,1.29E+07,1
Col-0,Pst AvrRpt2,1,SAR,1.06E+05,1
Col-0,Pst AvrRpt2,1,SAR,1.25E+05,1
Col-0,Pst AvrRpt2,1,SAR,2.10E+05,1
Col-0,H2O,2,Mock,1.24E+07,1
Col-0,H2O,2,Mock,1.73E+07,1
Col-0,H2O,2,Mock,1.36E+07,1
Col-0,Flg22,2,SAR,6.06E+06,1
Col-0,Flg22,2,SAR,4.19E+06,1
Col-0,Flg22,2,SAR,5.56E+06,1
Col-0,MgCl2,1,Mock,1.00E+07,2
Col-0,MgCl2,1,Mock,1.23E+07,2
Col-0,MgCl2,1,Mock,1.61E+07,2
Col-0,Pst AvrRpt2,1,SAR,9.87E+04,2
Col-0,Pst AvrRpt2,1,SAR,1.29E+05,2
Col-0,Pst AvrRpt2,1,SAR,2.17E+05,2
Col-0,H2O,2,Mock,1.66E+07,2
Col-0,H2O,2,Mock,1.25E+07,2
Col-0,H2O,2,Mock,1.38E+07,2
Col-0,Flg22,2,SAR,7.49E+06,2
Col-0,Flg22,2,SAR,6.17E+06,2
Col-0,Flg22,2,SAR,7.10E+06,2
Col-0,MgCl2,1,Mock,1.06E+07,3
Col-0,MgCl2,1,Mock,1.43E+07,3
Col-0,MgCl2,1,Mock,9.88E+06,3
Col-0,Pst AvrRpt2,1,SAR,2.14E+05,3
Col-0,Pst AvrRpt2,1,SAR,1.14E+05,3
Col-0,Pst AvrRpt2,1,SAR,1.18E+05,3
Col-0,H2O,2,Mock,1.11E+07,3
Col-0,H2O,2,Mock,1.07E+07,3
Col-0,H2O,2,Mock,1.01E+07,3
Col-0,Flg22,2,SAR,5.16E+06,3
Col-0,Flg22,2,SAR,6.56E+06,3
Col-0,Flg22,2,SAR,4.33E+06,3
