genotype,treatment,population,experiment
col-0,mock,4687500,1
col-0,mock,4875000,1
col-0,mock,5000000,1
col-0,SAR,1218750,1
col-0,SAR,1175000,1
col-0,SAR,1200000,1
fmo1-1,mock,5000000,1
fmo1-1,mock,5275000,1
fmo1-1,mock,5750000,1
fmo1-1,SAR,5975000,1
fmo1-1,SAR,5437500,1
fmo1-1,SAR,5750000,1
ald1-T2,mock,5475000,1
ald1-T2,mock,4937500,1
ald1-T2,mock,5162500,1
ald1-T2,SAR,5150000,1
ald1-T2,SAR,4837500,1
ald1-T2,SAR,5187500,1
col-0,mock,5.21E+06,2
col-0,mock,5.36E+06,2
col-0,mock,5.66E+06,2
col-0,SAR,1.34E+06,2
col-0,SAR,1.07E+06,2
col-0,SAR,1.32E+06,2
fmo1-1,mock,5.50E+06,2
fmo1-1,mock,5.81E+06,2
fmo1-1,mock,5.93E+06,2
fmo1-1,SAR,6.19E+06,2
fmo1-1,SAR,5.78E+06,2
fmo1-1,SAR,6.37E+06,2
ald1-T2,mock,6.01E+06,2
ald1-T2,mock,5.43E+06,2
ald1-T2,mock,5.68E+06,2
ald1-T2,SAR,5.43E+06,2
ald1-T2,SAR,5.32E+06,2
ald1-T2,SAR,5.71E+06,2
