"","Accession","Description","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","Unique peptides","Confidence score"
"1","AT1G07110.1","| Symbols: F2KP, ATF2KP, FKFBP | fructose-2,6-bisphosphatase | chr1:2178363-2183980 REVERSE LENGTH=744",0,6511.66666666667,11663,Inf,Inf,0.00200001322818584,9.41725895094024e-05,"1","31.22"
"2","AT5G35100.1","| Symbols:  | Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein | chr5:13360459-13361377 REVERSE LENGTH=281",0,7584.66666666667,24163,Inf,Inf,0.00120852198451263,0.00122173474739531,"1","48.55"
"3","AT4G16500.1","| Symbols:  | Cystatin/monellin superfamily protein | chr4:9301530-9301883 REVERSE LENGTH=117",0,5833.66666666667,17281,Inf,Inf,0.00875307087360382,0.000134570778606257,"1","43"
"4","AT5G51090.1","| Symbols:  | unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:20772237-20773194 REVERSE LENGTH=131",0,10413.6666666667,3149,Inf,Inf,0.000939103680939227,0.0138835543712607,"1","24.24"
"5","AT3G23160.1","| Symbols:  | Protein of unknown function (DUF668) | chr3:8260059-8261654 REVERSE LENGTH=531",93.3333333333333,109191.333333333,93320.6666666667,1169.90714285714,999.864285714286,9.51808903662827e-05,0.000386114540747854,"1","19.02"
"6","AT5G16170.1","| Symbols:  | Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein | chr5:5277926-5279751 FORWARD LENGTH=411",1483.66666666667,226519.666666667,128400,152.675578521681,86.5423500337003,0.000637116281168934,0.000678668620769146,"1","16.5"
"7","AT2G38040.1","| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769",109.333333333333,12968.6666666667,44944,118.615853658537,411.073170731707,0.0104277381807828,4.97426129543115e-05,"1","29.34"
"8","AT1G12230.1","| Symbols:  | Aldolase superfamily protein | chr1:4148050-4150708 FORWARD LENGTH=405",227,21562.6666666667,17422.6666666667,94.9897209985316,76.7518355359765,4.75895478280997e-07,1.73896032526826e-05,"1","20.01"
"9","AT5G63530.1","| Symbols: ATFP3, FP3 | farnesylated protein 3 | chr5:25433279-25435614 FORWARD LENGTH=355",11091,1007297.33333333,1123784,90.8211462747573,101.323956361013,6.32260548037134e-05,0.000366851980753798,"1","15.26"
"10","AT4G26530.1","| Symbols:  | Aldolase superfamily protein | chr4:13391566-13392937 FORWARD LENGTH=358",504.666666666667,43091.6666666667,136757.333333333,85.386393659181,270.985468956407,0.000855143134233239,0.000211627112469337,"2","144.23"
"11","AT1G17880.1","| Symbols: BTF3, ATBTF3 | basic transcription factor 3 | chr1:6152572-6153425 REVERSE LENGTH=165",608,42397,86221.3333333333,69.7319078947368,141.811403508772,0.000849237714359925,0.0027966472944401,"1","19.46"
"12","AT4G02530.1","| Symbols:  | chloroplast thylakoid lumen protein | chr4:1112335-1114005 REVERSE LENGTH=216",3623.66666666667,190932.666666667,601744.333333333,52.6904608591666,166.059516143869,0.00152795845658665,0.000256110275139059,"2","132.81"
