"","Accession","Description","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","Peptides used for quantitation","Confidence score"
"1","ATCG00490.1","| Symbols: RBCL | ribulose-bisphosphate carboxylases | chrC:54958-56397 FORWARD LENGTH=479",24167246.6666667,20228647.25,28532299.5,0.837027383756583,1.18061854101708,0.804965149128526,0.180552394719839,"14","869"
"2","AT2G07732.1","| Symbols: RBCL | ribulose-bisphosphate carboxylases | chrC:54958-56397 FORWARD LENGTH=479",24167246.6666667,20228647.25,28532299.5,0.837027383756583,1.18061854101708,0.804965149128526,0.180552394719839,"14","869"
"3","ATMG00280.1","| Symbols: RBCL | ribulose-bisphosphate carboxylases | chrC:54958-56397 FORWARD LENGTH=479",24167246.6666667,20228647.25,28532299.5,0.837027383756583,1.18061854101708,0.804965149128526,0.180552394719839,"14","869"
"4","AT3G05900.1","| Symbols:  | neurofilament protein-related | chr3:1761408-1763854 REVERSE LENGTH=673",13871682.3333333,979356.75,438569.75,0.0706011517901205,0.0316161904130494,0.987827549553758,0.988712184066725,"10","514"
"5","ATCG00480.1","| Symbols: ATPB, PB | ATP synthase subunit beta | chrC:52660-54156 REVERSE LENGTH=498",4271999,1793148,907295.25,0.419744480277266,0.212381896624976,0.980525714932864,0.985410211456085,"10","641"
"6","AT3G52960.1","| Symbols:  | Thioredoxin superfamily protein | chr3:19639699-19640403 FORWARD LENGTH=234",243654.333333333,2120379.25,3066440.5,8.70240730378966,12.5852081432302,0.00956456511741049,0.00457315274543502,"8","589"
"7","AT5G40450.1","| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits t",1516722,38358.75,10718.5,0.0252905608278907,0.00706688503232629,0.977941257528926,0.978662923774909,"7","472"
"8","AT2G39730.1","| Symbols: RCA | rubisco activase | chr2:16570951-16573345 REVERSE LENGTH=474",5815570,314701.75,81928,0.0541136552392973,0.0140876990561544,0.938349487968881,0.942299798466541,"7","388"
"9","AT2G39730.2","| Symbols: RCA | rubisco activase | chr2:16570951-16573345 REVERSE LENGTH=474",5815570,314701.75,81928,0.0541136552392973,0.0140876990561544,0.938349487968881,0.942299798466541,"7","388"
"10","AT3G19170.1","| Symbols: ATPREP1, ATZNMP, PREP1 | presequence protease 1 | chr3:6625578-6631874 REVERSE LENGTH=1080",1012590.33333333,581402.25,145181,0.574173217796865,0.14337585025336,0.941170022818839,0.985834846566807,"7","349"
"11","AT1G49630.1","| Symbols: ATPREP1, ATZNMP, PREP1 | presequence protease 1 | chr3:6625578-6631874 REVERSE LENGTH=1080",1012590.33333333,581402.25,145181,0.574173217796865,0.14337585025336,0.941170022818839,0.985834846566807,"7","349"
"12","AT3G19170.2","| Symbols: ATPREP1, ATZNMP, PREP1 | presequence protease 1 | chr3:6625578-6631874 REVERSE LENGTH=1080",1012590.33333333,581402.25,145181,0.574173217796865,0.14337585025336,0.941170022818839,0.985834846566807,"7","349"
"13","AT1G09340.1","| Symbols: CRB, CSP41B, HIP1.3 | chloroplast RNA binding | chr1:3015473-3018035 FORWARD LENGTH=378",1461007.66666667,3795365.75,1257512.75,2.59777264458799,0.86071605145581,0.0377157054362889,0.853021355518308,"7","351"
"14","AT1G03680.1","| Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916990-917865 REVERSE LENGTH=179",58022,433391,10114385.25,7.46942539036917,174.319831270897,0.00304036339990246,0.000339259884268882,"6","367"
"15","AT5G52310.1","| Symbols: COR78, LTI78, RD29A, LTI140 | low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A) | chr5:21240929-21243326 FORWARD LENGTH=710",1333092.66666667,112373,47684.5,0.084294965241226,0.0357698314545776,0.963798686399348,0.966904048678268,"6","327"
"16","AT1G06680.1","| Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263",1589674.33333333,4684963,16993833.5,2.94712124474971,10.6901351702435,0.0103314805271144,0.000205367388887477,"6","422"
"17","AT2G30790.1","| Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263",1589674.33333333,4684963,16993833.5,2.94712124474971,10.6901351702435,0.0103314805271144,0.000205367388887477,"6","422"
