"Accession","Peptides used for quantitation","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","proteome_1_ID","Short_description","Curator_summary","gene_name"
"ATCG00490.1",14,24167246.6666667,20228647.25,28532299.5,0.837027383756583,1.18061854101708,0.804965149128526,0.180552394719839,1,"ribulose-bisphosphate carboxylases","large subunit of RUBISCO. Protein is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.","RBCL"
"AT2G07732.1",14,24167246.6666667,20228647.25,28532299.5,0.837027383756583,1.18061854101708,0.804965149128526,0.180552394719839,1,"Ribulose bisphosphate carboxylase large chain, catalytic domain","","Ribulose bisphosphate carboxylase large chain, catalytic domain"
"ATMG00280.1",14,24167246.6666667,20228647.25,28532299.5,0.837027383756583,1.18061854101708,0.804965149128526,0.180552394719839,1,"Ribulose bisphosphate carboxylase large chain, catalytic domain","hypothetical protein","Ribulose bisphosphate carboxylase large chain, catalytic domain"
"AT3G05900.1",10,13871682.3333333,979356.75,438569.75,0.0706011517901205,0.0316161904130494,0.987827549553758,0.988712184066725,2,"neurofilament protein-related","","neurofilament protein-related"
"ATCG00480.1",10,4271999,1793148,907295.25,0.419744480277266,0.212381896624976,0.980525714932864,0.985410211456085,3,"ATP synthase subunit beta","chloroplast-encoded gene for beta subunit of ATP synthase","ATP synthase subunit beta (PB)"
"AT3G52960.1",8,243654.333333333,2120379.25,3066440.5,8.70240730378966,12.5852081432302,0.00956456511741049,0.00457315274543502,4,"Thioredoxin superfamily protein","","Thioredoxin superfamily protein"
"AT5G40450.1",7,1516722,38358.75,10718.5,0.0252905608278907,0.00706688503232629,0.977941257528926,0.978662923774909,5,"","","unknown protein"
"AT2G39730.1",7,5815570,314701.75,81928,0.0541136552392973,0.0140876990561544,0.938349487968881,0.942299798466541,6,"rubisco activase","Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco.","rubisco activase (RCA)"
"AT2G39730.2",7,5815570,314701.75,81928,0.0541136552392973,0.0140876990561544,0.938349487968881,0.942299798466541,6,"rubisco activase","Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco.","rubisco activase (RCA)"
"AT3G19170.1",7,1012590.33333333,581402.25,145181,0.574173217796865,0.14337585025336,0.941170022818839,0.985834846566807,7,"presequence protease 1","Zinc metalloprotease pitrilysin subfamily A. Signal peptide degrading enzyme targeted to mitochondria and chloroplasts. Expressed only in siliques and flowers","presequence protease 1 (PREP1)"
"AT1G49630.1",7,1012590.33333333,581402.25,145181,0.574173217796865,0.14337585025336,0.941170022818839,0.985834846566807,7,"presequence protease 2","Zinc metalloprotease pitrilysin subfamily A. Signal peptide degrading enzyme targeted to mitochondria and chloroplasts. Expressed in flower, leaf and root. Not expressed in silique and shoot.","presequence protease 2 (PREP2)"
"AT3G19170.2",7,1012590.33333333,581402.25,145181,0.574173217796865,0.14337585025336,0.941170022818839,0.985834846566807,7,"presequence protease 1","Zinc metalloprotease pitrilysin subfamily A. Signal peptide degrading enzyme targeted to mitochondria and chloroplasts. Expressed only in siliques and flowers","presequence protease 1 (PREP1)"
"AT1G09340.1",7,1461007.66666667,3795365.75,1257512.75,2.59777264458799,0.86071605145581,0.0377157054362889,0.853021355518308,8,"chloroplast RNA binding","Encodes CHLOROPLAST RNA BINDING (CRB), a putative RNA-binding protein.  CRB is important for the proper functioning of the chloroplast.  Mutations in CRB also affects the circadian system, altering the expression of both oscillator and output genes.","chloroplast RNA binding (CRB)"
"AT1G03680.1",6,58022,433391,10114385.25,7.46942539036917,174.319831270897,0.00304036339990246,0.000339259884268882,9,"thioredoxin M-type 1","encodes a chloroplast thioredoxin similar to prokaryotic thioredoxins.","thioredoxin M-type 1 (THM1)"
"AT5G52310.1",6,1333092.66666667,112373,47684.5,0.084294965241226,0.0357698314545776,0.963798686399348,0.966904048678268,10,"low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A)","cold regulated gene, the 5' region of cor78 has cis-acting regulatory elements that can impart cold-regulated gene expression","LOW-TEMPERATURE-INDUCED 78 (LTI78)"
"AT1G06680.1",6,1589674.33333333,4684963,16993833.5,2.94712124474971,10.6901351702435,0.0103314805271144,0.000205367388887477,11,"photosystem II subunit P-1","Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution.","photosystem II subunit P-1 (PSBP-1)"
"AT2G30790.1",6,1589674.33333333,4684963,16993833.5,2.94712124474971,10.6901351702435,0.0103314805271144,0.000205367388887477,11,"photosystem II subunit P-2","Encodes a 23 kD extrinsic protein that is part of photosystem II and participates in the regulation of oxygen evolution.","photosystem II subunit P-2 (PSBP-2)"
"ATCG00120.1",6,6946863,2127128.25,1059875.75,0.306199827173791,0.15256897249881,0.986446285204501,0.987634216302651,12,"ATP synthase subunit alpha","Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.","ATP synthase subunit alpha (ATPA)"
"AT1G16080.1",6,1780611,733506.5,307221.5,0.411940901185043,0.172537123493003,0.986210536203474,0.987823224244713,13,"","","unknown protein"
"AT5G66190.1",6,6136316.66666667,2269193.25,1236335.25,0.369797286102684,0.201478397735884,0.992984866592495,0.992257957928938,14,"ferredoxin-NADP(+)-oxidoreductase 1","Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the thylakoid.  The affinity of this enzyme for ferredoxin is slightly, but significantly, higher than AtLFNR2, an isoform of the same enzyme.  AtLFNR1 forms a heterodimer with AtFNR2 and is also a prerequisite to attach AtFNR2 to the thylakoid membrane.","ferredoxin-NADP(+)-oxidoreductase 1 (FNR1)"
"AT2G04030.1",6,909132,460624.25,235869,0.506663773797424,0.259444173123375,0.995738730014184,0.999650089219914,15,"Chaperone protein htpG family protein","Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.","CR88"
"AT3G07770.1",6,909132,460624.25,235869,0.506663773797424,0.259444173123375,0.995738730014184,0.999650089219914,15,"HEAT SHOCK PROTEIN 89.1","","HEAT SHOCK PROTEIN 89.1 (Hsp89.1)"
"AT5G26000.1",6,4897692.33333333,1433178,1394923.5,0.29262311767644,0.284812398383266,0.998508696677654,0.999387097364801,16,"thioglucoside glucohydrolase 1","member of Glycoside Hydrolase Family 1. encodes one of two known functional myrosinase enzymes in Arabidopsis. The enzyme catalyzes the hydrolysis of glucosinolates into compounds that are toxic to various microbes and herbivores.","thioglucoside glucohydrolase 1 (TGG1)"
"AT5G09650.1",6,6194351.33333333,7073320,2401565.5,1.14189841992603,0.387702500353279,0.283098713656045,0.997442953766753,17,"pyrophosphorylase 6","Encodes a protein with inorganic pyrophosphatase activity.","pyrophosphorylase 6 (PPa6)"
"AT1G32470.1",6,1523567,5912757,3177869.75,3.88086444508184,2.08580899297504,0.0154450756384507,0.0151933880428649,18,"Single hybrid motif superfamily protein","","Single hybrid motif superfamily protein"
"AT2G35370.1",6,1523567,5912757,3177869.75,3.88086444508184,2.08580899297504,0.0154450756384507,0.0151933880428649,18,"glycine decarboxylase complex H","Encodes glycine decarboxylase complex H protein. Involved in photorespiration.","glycine decarboxylase complex H (GDCH)"
"AT3G55440.1",6,1330752,1710231,1037905,1.28516132232001,0.779938711345164,0.216830944997366,0.815893700852302,19,"triosephosphate isomerase","Encodes triosephosphate isomerase.","triosephosphate isomerase (TPI)"
"AT3G16470.1",5,6071713,1237385,217135,0.203795041037019,0.0357617364325356,0.982678352337878,0.986574500953194,20,"Mannose-binding lectin superfamily protein","JA-responsive gene","JASMONATE RESPONSIVE 1 (JR1)"
"AT3G16470.3",5,6071713,1237385,217135,0.203795041037019,0.0357617364325356,0.982678352337878,0.986574500953194,20,"Mannose-binding lectin superfamily protein","JA-responsive gene","JASMONATE RESPONSIVE 1 (JR1)"
"AT1G20620.1",5,1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,21,"catalase 3","Catalase, catalyzes the breakdown of hydrogen peroxide (H2O2) into water and oxygen.","catalase 3 (CAT3)"
"AT1G20620.4",5,1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,21,"catalase 3","Catalase, catalyzes the breakdown of hydrogen peroxide (H2O2) into water and oxygen.","catalase 3 (CAT3)"
"AT1G20630.1",5,1315776,158157,254823.75,0.120200550853641,0.19366803316066,0.956206066743764,0.949327530816622,21,"catalase 1","Catalyzes the reduction of hydrogen peroxide using heme group as cofactor. Protects cells from toxicity by H2O2.","catalase 1 (CAT1)"
