"","Accession","Unique peptides","mean_mock","mean_vir","mean_avr","FC_vir","FC_avr","ttest_mock_vir","ttest_mock_avr","proteome_2_ID","Short_description","Curator_summary","gene_name"
"1","AT1G07110.1",1,0,6511.66666666667,11663,Inf,Inf,0.00200001322818584,9.41725895094024e-05,1,"fructose-2,6-bisphosphatase","Encodes the bifunctional enzyme fructose-6-phosphate 2-kinase/fructose-2,6-bisphosphatase.","""fructose-2,6-bisphosphatase"" (F2KP)"
"2","AT5G35100.1",1,0,7584.66666666667,24163,Inf,Inf,0.00120852198451263,0.00122173474739531,2,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein"
"3","AT4G16500.1",1,0,5833.66666666667,17281,Inf,Inf,0.00875307087360382,0.000134570778606257,3,"Cystatin/monellin superfamily protein","","Cystatin/monellin superfamily protein"
"4","AT5G51090.1",1,0,10413.6666666667,3149,Inf,Inf,0.000939103680939227,0.0138835543712607,4,"","","unknown protein"
"5","AT3G23160.1",1,93.3333333333333,109191.333333333,93320.6666666667,1169.90714285714,999.864285714286,9.51808903662827e-05,0.000386114540747854,5,"Protein of unknown function (DUF668)","","Protein of unknown function (DUF668)"
"6","AT5G16170.1",1,1483.66666666667,226519.666666667,128400,152.675578521681,86.5423500337003,0.000637116281168934,0.000678668620769146,6,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein","","Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
"7","AT2G38040.1",1,109.333333333333,12968.6666666667,44944,118.615853658537,411.073170731707,0.0104277381807828,4.97426129543115e-05,7,"acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit","encodes the carboxyltransferase alpha subunit of acetyl-CoA carboxylase, involved in de novo fatty acid biosynthesis","acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit (CAC3)"
"8","AT1G12230.1",1,227,21562.6666666667,17422.6666666667,94.9897209985316,76.7518355359765,4.75895478280997e-07,1.73896032526826e-05,8,"Aldolase superfamily protein","","Aldolase superfamily protein"
"9","AT5G63530.1",1,11091,1007297.33333333,1123784,90.8211462747573,101.323956361013,6.32260548037134e-05,0.000366851980753798,9,"farnesylated protein 3","Farnesylated protein that binds metals.","farnesylated protein 3 (FP3)"
"10","AT4G26530.1",2,504.666666666667,43091.6666666667,136757.333333333,85.386393659181,270.985468956407,0.000855143134233239,0.000211627112469337,10,"Aldolase superfamily protein","","Aldolase superfamily protein"
"11","AT1G17880.1",1,608,42397,86221.3333333333,69.7319078947368,141.811403508772,0.000849237714359925,0.0027966472944401,11,"basic transcription factor 3","","basic transcription factor 3 (BTF3)"
"12","AT4G02530.1",2,3623.66666666667,190932.666666667,601744.333333333,52.6904608591666,166.059516143869,0.00152795845658665,0.000256110275139059,12,"chloroplast thylakoid lumen protein","","chloroplast thylakoid lumen protein"
"13","AT3G04550.1",1,274.333333333333,10945,17327.6666666667,39.8967193195626,63.1628189550425,1.9725162673256e-06,0.000105695160628365,13,"","","unknown protein"
"14","AT3G20130.1",1,1066.66666666667,41569,80977.3333333333,38.9709375,75.91625,0.0209912909176801,0.00641250509128191,14,"cytochrome P450, family 705, subfamily A, polypeptide 22","member of CYP705A","""cytochrome P450, family 705, subfamily A, polypeptide 22"" (CYP705A22)"
"15","AT5G51710.1",1,1393.66666666667,54285.3333333333,50715.6666666667,38.9514470222435,36.3900980626644,0.00941490918455781,0.0161594614298801,15,"K+ efflux antiporter 5","member of Putative potassium proton antiporter family","K+ efflux antiporter 5 (KEA5)"
"16","AT1G04730.1",1,134778.666666667,5240105.33333333,4280980,38.8793379763365,31.7630386609157,0.00011550293640936,1.46241233964512e-05,16,"P-loop containing nucleoside triphosphate hydrolases superfamily protein","Necessary for sister chromatid cohesion. Acts in synergy with ETG1.","CHROMOSOME TRANSMISSION FIDELITY 18 (CTF18)"
"17","AT3G63170.1",1,78.6666666666667,2656.66666666667,4897.33333333333,33.771186440678,62.2542372881356,0.00722178272388735,0.00475183375851662,17,"Chalcone-flavanone isomerase family protein","","Chalcone-flavanone isomerase family protein"
"18","AT3G27570.1",1,899.333333333333,29470.3333333333,39424.6666666667,32.7690882134915,43.8376575240919,0.00247161766282384,5.36750122873092e-07,18,"Sucrase/ferredoxin-like family protein","","Sucrase/ferredoxin-like family protein"
"19","AT1G06530.1",1,132,3862.33333333333,17729.6666666667,29.260101010101,134.315656565657,0.0107337304192747,0.00123667995519736,19,"Tropomyosin-related","","Tropomyosin-related"
"20","AT2G44290.1",1,1182,34451,54638,29.1463620981387,46.2250423011844,0.000467412019719429,0.000476550071541398,20,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"21","AT3G51840.1",1,264.333333333333,7508.66666666667,18288.6666666667,28.40605296343,69.18789407314,0.00123360840742533,0.00340960064785023,21,"acyl-CoA oxidase 4","Encodes a short-chain acyl-CoA oxidase, which catalyzes the first step of peroxisomal fatty acid beta-oxidation during early, post-germinative growth in oilseed species. Null mutants virtually lack short-chain acyl-CoA and are resistant to 2,4-dichlorophenoxybutyric acid, which is converted to the herbicide and auxin analogue 2,4-dichlorophenoxyacetic acid by beta-oxidation. Despite the almost complete loss of short-chain activity, lipid catabolism and seedling growth and establishment was unaltered in the acx4 mutant. However, double mutants in acx3acx4 (acx3 encodes medium chain acyl CoA oxidase) were not viable and arrested during embryogenesis.","acyl-CoA oxidase 4 (ACX4)"
"22","AT4G31990.1",1,557.666666666667,15045.6666666667,17206.3333333333,26.9796772265392,30.8541542139868,0.000172850732612644,0.00193236708941053,22,"aspartate aminotransferase 5","Encodes a plastid-localized aspartate aminotransferase.  Does not display any PAT (glutamate/aspartate-prephenate aminotransferase) activity even in the presence of a high concentration of prephenate.","aspartate aminotransferase 5 (ASP5)"
"23","AT1G53520.1",1,758.666666666667,17916.6666666667,28319.6666666667,23.615992970123,37.3282073813708,3.0201696679478e-05,0.000334228372468276,23,"Chalcone-flavanone isomerase family protein","","Chalcone-flavanone isomerase family protein"
"24","AT4G23170.1",2,2156,50845.3333333333,95664.6666666667,23.5831787260359,44.3713667285096,0.00117759633149189,0.000209646081439474,24,"receptor-like protein kinase-related family protein","Induced in response to Salicylic acid.Similar to receptor-like kinase 4 and 5. NPR1, a known positive regulator of the SA signaling pathway is responsible for the SA-dependent induction and constitutive repression of EP1 gene's basal expression.","EP1"
"25","AT1G03100.1",1,282,5896.66666666667,49473.3333333333,20.9101654846336,175.437352245863,0.0159730367882647,0.00543475966180445,25,"Pentatricopeptide repeat (PPR) superfamily protein","","Pentatricopeptide repeat (PPR) superfamily protein"
"26","AT4G26500.1",1,217.666666666667,4473.33333333333,10495,20.5513016845329,48.2159264931087,0.00551088418575939,2.98738918667291e-05,26,"chloroplast sulfur E","Sulfur acceptor that interacts with and activates the cysteine desulfurases, AtSufS in plastids and AtNifS1 in mitochondria, and both activations are vital during embryogenesis. Dual localization in mitochondria and chloroplasts. Involved in Fe-S cluster biogenesis in mitochondria and plastids. Expressed in all major tissues, with higher expression in green parts. Its expression is light-dependent and regulated at the mRNA level. Activates the cysteine  desulfurase activity of CpNifS for chloroplastic iron-sulfur cluster  biogenesis.","chloroplast sulfur E (CPSUFE)"
"27","AT2G04450.1",1,332,6829.66666666667,23172,20.5712851405622,69.7951807228916,0.0108000926074849,0.000597936455009086,27,"nudix hydrolase homolog 6","Encodes a protein with NADH pyrophosphatase activity. Although this protein was also shown to have ADP-ribose diphosphatase activity in vitro, mutant analyses suggest that NUDX6 is involved in NADH metabolism in vivo.","nudix hydrolase homolog 6 (NUDT6)"
"28","AT4G32100.1",1,830,16094.6666666667,24679.6666666667,19.3911646586345,29.7345381526104,0.00559058178752089,0.00474981360465372,28,"Beta-1,3-N-Acetylglucosaminyltransferase family protein","","Beta-1,3-N-Acetylglucosaminyltransferase family protein"
"29","AT3G28930.1",2,718.333333333333,13437,62106.3333333333,18.7058004640371,86.4589327146172,0.00286963152300713,0.000304157881419099,29,"AIG2-like (avirulence induced gene) family protein","avrRpt2-induced gene that exhibits RPS2- and avrRpt2-dependent induction early after infection with Pseudomonas syringae pv maculicola strain ES4326 carrying avrRpt2","AVRRPT2-INDUCED GENE 2 (AIG2)"
"30","AT4G12720.1",1,1884,33807.6666666667,124190,17.9446213729653,65.9182590233546,7.86894318355867e-05,0.00129847826818151,30,"MutT/nudix family protein","Encodes a protein with ADP-ribose hydrolase activity. Negatively regulates EDS1-conditioned plant defense and programmed cell death.","NUDT7"
"31","AT1G73230.1",1,2646.66666666667,43293.6666666667,88248,16.3578085642317,33.3430730478589,4.56424023021077e-05,0.00101240605306237,31,"Nascent polypeptide-associated complex NAC","","Nascent polypeptide-associated complex NAC"
"32","AT1G72370.1",1,528,8615.33333333333,11209,16.3169191919192,21.2291666666667,0.000178238399228755,0.000450041698317575,32,"40s ribosomal protein SA","acidic protein associated to 40S ribosomal subunit of ribosomes. Involved in polysome formation during active protein synthesis. Expressed in actively growing tissue.","40s ribosomal protein SA (P40)"
"33","AT5G58250.1",1,2605.33333333333,42111.6666666667,122089.666666667,16.1636386898669,46.8614380757421,0.000157898359510079,1.54327078775258e-07,33,"","","unknown protein"
"34","AT2G27720.1",1,1427.33333333333,22791.3333333333,53789.6666666667,15.9677720691266,37.6854273703877,0.00068455434004891,0.000186554259649386,34,"60S acidic ribosomal protein family","","60S acidic ribosomal protein family"
"35","AT2G27720.2",1,1427.33333333333,22791.3333333333,53789.6666666667,15.9677720691266,37.6854273703877,0.00068455434004891,0.000186554259649386,34,"60S acidic ribosomal protein family","","60S acidic ribosomal protein family"
"36","AT1G20340.1",8,429218,6801466,10240460,15.846180728674,23.8584122753473,0.00196850030595608,0.00151793189606427,35,"Cupredoxin superfamily protein","recombination and DNA-damage resistance protein (DRT112)  One of two Arabidopsis plastocyanin genes. Predominant form, expressed 10x higher than PETE1. PETE2 is thought to be post-transcriptionally regulated via copper accumulation and is involved in copper homeostasis.","DNA-DAMAGE-REPAIR/TOLERATION PROTEIN 112 (DRT112)"
"37","AT3G01590.1",1,622.666666666667,9701,23346.3333333333,15.5797644539615,37.4941113490364,0.000460188864930069,0.000255723216680184,36,"Galactose mutarotase-like superfamily protein","","Galactose mutarotase-like superfamily protein"
