Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Marked as,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Gene ID,# Razor Peptides,"Abundances (Normalized): F1: Sample, Flg22","Abundances (Normalized): F2: Sample, Flg22","Abundances (Normalized): F3: Sample, Flg22","Abundances (Normalized): F4: Sample, Flg22","Abundances (Normalized): F5: Sample, Mock","Abundances (Normalized): F6: Sample, Mock","Abundances (Normalized): F7: Sample, Mock","Abundances (Normalized): F8: Sample, Mock",Ratio log2(flg22/Mock),T-Test,,,,,,
High,IsMasterProtein,Q9LE15,Peroxidase 4 OS=Arabidopsis thaliana OX=3702 GN=PER4 PE=3 SV=1,0,Athaliana,200.436,72,22,188,20,315,34.4,7.8,458.09,22,ath:AT1G14540; Q9LE15,3,1790188368,985971275.1,1873866280,1762907159,42194750.41,25807442.36,41761016.36,31875498.72,5.50069686,0.004561509,,,,,,
High,IsMasterProtein,Q9FKA4,Peroxidase 62 OS=Arabidopsis thaliana OX=3702 GN=PER62 PE=2 SV=1,0,Athaliana,244.577,78,20,184,20,319,34.1,8.43,474.62,20,ath:AT5G39580; P93724; Q9FKA4,0,2360378675,961855977.2,1250972623,866468291.9,17009874.58,7153632.806,6102024.924,3719206.969,7.322489744,0.028591089,,,,,,
High,IsMasterProtein,Q9C9C2,At1g74010 OS=Arabidopsis thaliana OX=3702 GN=At1g74010 PE=1 SV=1,0,Athaliana,47.917,34,8,35,7,325,34.2,8.18,69,8,ath:AT1G74010; Q9C9C2,1,27828271.11,40679640.13,43446435.25,26618921.53,2292352.499,3791002.174,3247143.017,4047072.938,3.372760925,0.005281606,,,,,,
High,IsMasterProtein,Q9LVI6,Probable inactive receptor kinase RLK902 OS=Arabidopsis thaliana OX=3702 GN=RLK902 PE=1 SV=1,0,Athaliana,62.069,14,9,78,9,647,70.4,6.57,148.46,9,ath:AT3G17840; Q8LD58; Q9LVI6,0,281767069.9,232509638.7,427625304.4,453508364.8,15064097.86,13438080.5,31151483.62,23296712.89,4.072297157,0.007456659,,,,,,
High,IsMasterProtein,Q6NLG8,At4g33550 OS=Arabidopsis thaliana OX=3702 GN=At4g33550 PE=1 SV=1,0,Athaliana,13.734,31,3,7,3,130,14.3,8.84,14.21,3,Q6NLG8,0,93861.69736,,84175.6428,50292.77873,2354444.554,2959118.187,4398145.295,1647276,-5.221531317,0.079539028,,,,,,
High,IsMasterProtein,Q06738,Low-temperature-induced 78 kDa protein OS=Arabidopsis thaliana OX=3702 GN=RD29A PE=1 SV=2,0,Athaliana,334.823,61,42,337,41,710,77.8,4.54,774.25,42,ath:AT5G52310; Q04981; Q06738; Q39060; Q56Y03; Q93Y41,1,102034519.3,156933730,128248046.3,100575062.5,515831954.2,413791741.6,497834133.5,315059540.9,-1.836836933,0.006752254,,,,,,
High,IsMasterProtein,Q9SA87,Berberine bridge enzyme-like 10 OS=Arabidopsis thaliana OX=3702 GN=At1g30720 PE=2 SV=1,0,Athaliana,122.144,46,24,111,23,527,58.8,9.22,185.76,24,ath:AT1G30720; Q9SA87,1,98506410.88,140219292.7,274143683.9,252046058.6,5818674.661,7987574.331,9648919.533,6317344.422,4.683247378,0.022280506,,,,,,
High,IsMasterProtein,Q8W4S6,"Beta-fructofuranosidase, insoluble isoenzyme CWINV6 OS=Arabidopsis thaliana OX=3702 GN=CWINV6 PE=2 SV=1",0,Athaliana,12.28,7,4,8,4,550,62.1,5.19,7.85,4,A8MQQ0; ath:AT5G11920; Q8W4S6; Q9LYI1,0,1615762.007,1167752.885,1365100.559,2285235.725,,241073.1255,,213797.7188,2.822153694,0.232201541,,,,,,
High,IsMasterProtein,O23237,Peroxidase 49 OS=Arabidopsis thaliana OX=3702 GN=PER49 PE=2 SV=2,0,Athaliana,124.005,49,12,68,9,331,36.1,8.38,153.21,12,ath:AT4G36430; O23237,2,96785568.73,318842892,184590498.9,86200223.16,3537255.237,3545704.211,1805845.632,2886112.5,5.865301005,0.05175578,,,,,,
High,IsMasterProtein,Q04836,"31 kDa ribonucleoprotein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CP31A PE=1 SV=1",0,Athaliana,91.087,36,10,101,10,329,35.8,4.65,185.62,10,ath:AT4G24770; P92871; Q03394; Q04836; Q43350; Q94EH5,0,36657605.56,54550466.77,27824422.35,34703718.62,111261656.7,161007102.6,205468839.7,196783026.8,-2.13340552,0.012315292,,,,,,
